Gionee,"Gionee believes that products should be as unique as the people who use them. We define ourselves as a global provider technology that is user-friendly, stylish, and wallet-friendly. In other words, we strive to help consumers make their lives better.",MP000000000595961
Oppo,OPPO is a global electronics and technology service provider that delivers the latest and exquisite mobile devices. OPPO is dedicated to delivering customers with the extraordinary mobile experience through meticulous designs and smart technology.,MP000000000598885
Samsung,"Samsung measures its success not only in business achievements, but also by how well we serve our community, protect our planetâs resources, and make a difference in people's lives.",MP000000000608507
Lava,"Lava International Limited is today one of Indiaâs leading and fastest growing mobile handset companies. Headquartered in New Delhi, India.",MP000000000608852
Asus,Electronics Brand,MP000000000625768
Intex,Intex Technologies itself is a trusted name in the industry today. The company has R&D activities that is well-equipped with modern equipment and is manned by highly qualified and experienced team looking after product design & development.,MP000000000625757
Micromax,Micromax has pioneered the democratisation of technology in India by offering affordable innovations through their product offerings and removing barriers for large scale adoption of advanced technologies.,MP000000000637081
Lenovo,"Lenovo has consistently outgrown the worldwide PC market in unit shipments and gained market share across all geographies, products and customer segments, making it the fastest growing major PC company in the world for three years running.",MP000000000637070
LYF,Electronics Brand,MP000000000637079
